,PostalCode,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,M1B,Scarborough,"Malvern, Rouge",43.8066863,-79.19435340000003,4.0,Fast Food Restaurant,Dessert Shop,Falafel Restaurant,Event Space,Ethiopian Restaurant,Escape Room,Electronics Store,Eastern European Restaurant,Drugstore,Donut Shop
1,M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek",43.7845351,-79.16049709999999,1.0,Construction & Landscaping,Bar,Women's Store,Drugstore,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Donut Shop,Eastern European Restaurant
2,M1E,Scarborough,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,1.0,Mexican Restaurant,Electronics Store,Restaurant,Breakfast Spot,Rental Car Location,Intersection,Medical Center,Bank,Women's Store,Discount Store
3,M1G,Scarborough,Woburn,43.7709921,-79.21691740000001,1.0,Coffee Shop,Soccer Field,Korean BBQ Restaurant,Donut Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant
4,M1H,Scarborough,Cedarbrae,43.773136,-79.23947609999998,1.0,Hakka Restaurant,Gas Station,Bank,Bakery,Fried Chicken Joint,Athletics & Sports,Thai Restaurant,Caribbean Restaurant,Lounge,Cuban Restaurant
5,M1J,Scarborough,Scarborough Village,43.7447342,-79.23947609999998,1.0,Playground,Cosmetics Shop,Women's Store,Doner Restaurant,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Donut Shop
6,M1K,Scarborough,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002,1.0,Coffee Shop,Playground,Hobby Shop,Department Store,Women's Store,Doner Restaurant,Dim Sum Restaurant,Diner,Discount Store,Distribution Center
7,M1L,Scarborough,"Golden Mile, Clairlea, Oakridge",43.7111117,-79.2845772,1.0,Bus Line,Bakery,Soccer Field,Ice Cream Shop,Bus Station,Metro Station,Intersection,Park,General Entertainment,Department Store
8,M1M,Scarborough,"Cliffside, Cliffcrest, Scarborough Village West",43.716316,-79.23947609999998,1.0,American Restaurant,Motel,Department Store,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Women's Store
9,M1N,Scarborough,"Birch Cliff, Cliffside West",43.692657,-79.2648481,1.0,College Stadium,General Entertainment,Café,Skating Rink,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant
10,M1P,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.27330400000002,1.0,Indian Restaurant,Pet Store,Vietnamese Restaurant,Chinese Restaurant,Furniture / Home Store,Comfort Food Restaurant,Comic Shop,Escape Room,Electronics Store,Eastern European Restaurant
11,M1R,Scarborough,"Wexford, Maryvale",43.7500715,-79.2958491,1.0,Auto Garage,Smoke Shop,Middle Eastern Restaurant,Bakery,Sandwich Place,Dog Run,Diner,Discount Store,Distribution Center,Doner Restaurant
12,M1S,Scarborough,Agincourt,43.7942003,-79.26202940000002,1.0,Lounge,Latin American Restaurant,Breakfast Spot,Chinese Restaurant,Donut Shop,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant
13,M1T,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan",43.7816375,-79.3043021,1.0,Pizza Place,Fast Food Restaurant,Intersection,Italian Restaurant,Rental Car Location,Pharmacy,Noodle House,Gas Station,Fried Chicken Joint,Bank
14,M1V,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East",43.8152522,-79.2845772,0.0,Park,Intersection,Playground,Doner Restaurant,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Donut Shop
15,M1W,Scarborough,"Steeles West, L'Amoreaux West",43.79952520000001,-79.3183887,1.0,Fast Food Restaurant,Grocery Store,Electronics Store,Pharmacy,Pizza Place,Coffee Shop,Breakfast Spot,Bank,Sandwich Place,Discount Store
17,M2H,North York,Hillcrest Village,43.8037622,-79.3634517,1.0,Mediterranean Restaurant,Fast Food Restaurant,Golf Course,Pool,Dog Run,Doner Restaurant,Dim Sum Restaurant,Diner,Discount Store,Distribution Center
18,M2J,North York,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,1.0,Clothing Store,Coffee Shop,Fast Food Restaurant,Japanese Restaurant,Restaurant,Bakery,Food Court,Jewelry Store,Juice Bar,Convenience Store
19,M2K,North York,Bayview Village,43.7869473,-79.385975,1.0,Café,Japanese Restaurant,Bank,Chinese Restaurant,Dessert Shop,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant
20,M2L,North York,"York Mills, Silver Hills",43.7574902,-79.37471409999998,2.0,Martial Arts School,Women's Store,Dessert Shop,Event Space,Ethiopian Restaurant,Escape Room,Electronics Store,Eastern European Restaurant,Drugstore,Donut Shop
21,M2M,North York,"Willowdale, Newtonbrook",43.789053,-79.40849279999998,0.0,Park,Women's Store,Donut Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Drugstore
22,M2N,North York,"Willowdale, Willowdale East",43.7701199,-79.40849279999998,1.0,Ramen Restaurant,Sandwich Place,Shopping Mall,Café,Coffee Shop,Sushi Restaurant,Restaurant,Pizza Place,Ice Cream Shop,Steakhouse
23,M2P,North York,York Mills West,43.7527583,-79.4000493,0.0,Convenience Store,Park,Drugstore,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Donut Shop,Women's Store
24,M2R,North York,"Willowdale, Willowdale West",43.7827364,-79.4422593,1.0,Grocery Store,Pharmacy,Pizza Place,Coffee Shop,Butcher,Discount Store,Women's Store,Dog Run,Dessert Shop,Dim Sum Restaurant
25,M3A,North York,Parkwoods,43.7532586,-79.3296565,0.0,Food & Drink Shop,Park,Women's Store,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Donut Shop
26,M3B,North York,Don Mills,43.7459058,-79.352188,1.0,Gym,Beer Store,Coffee Shop,Japanese Restaurant,Restaurant,Dim Sum Restaurant,Caribbean Restaurant,Sandwich Place,Bike Shop,Bus Line
27,M3C,North York,Don Mills,43.72589970000001,-79.340923,1.0,Gym,Beer Store,Coffee Shop,Japanese Restaurant,Restaurant,Dim Sum Restaurant,Caribbean Restaurant,Sandwich Place,Bike Shop,Bus Line
28,M3H,North York,"Bathurst Manor, Wilson Heights, Downsview North",43.7543283,-79.4422593,1.0,Bank,Coffee Shop,Shopping Mall,Intersection,Supermarket,Sushi Restaurant,Middle Eastern Restaurant,Ice Cream Shop,Restaurant,Fried Chicken Joint
